time,open,high,low,close,tick_volume,spread,real_volume
2025-06-24 14:30:00,144.575,144.655,144.514,144.54,1584,9,0
2025-06-24 14:45:00,144.54,144.737,144.513,144.737,1524,9,0
2025-06-24 15:00:00,144.736,144.767,144.605,144.683,1667,9,0
2025-06-24 15:15:00,144.684,144.751,144.567,144.74,1073,9,0
2025-06-24 15:30:00,144.741,144.87,144.715,144.833,1151,9,0
2025-06-24 15:45:00,144.833,144.9,144.772,144.896,1045,9,0
2025-06-24 16:00:00,144.897,144.959,144.871,144.871,1135,9,0
2025-06-24 16:15:00,144.873,144.909,144.827,144.832,808,9,0
2025-06-24 16:30:00,144.829,144.838,144.752,144.764,898,9,0
2025-06-24 16:45:00,144.764,144.777,144.657,144.702,768,9,0
2025-06-24 17:00:00,144.702,144.721,144.651,144.67,774,9,0
2025-06-24 17:15:00,144.671,144.672,144.555,144.64,796,9,0
2025-06-24 17:30:00,144.64,144.673,144.61,144.663,617,9,0
2025-06-24 17:45:00,144.663,144.749,144.63,144.728,559,9,0
2025-06-24 18:00:00,144.726,144.768,144.649,144.664,632,9,0
2025-06-24 18:15:00,144.664,144.741,144.649,144.704,583,9,0
2025-06-24 18:30:00,144.705,144.728,144.661,144.668,436,9,0
2025-06-24 18:45:00,144.668,144.708,144.654,144.682,563,9,0
2025-06-24 19:00:00,144.682,144.726,144.655,144.701,467,9,0
2025-06-24 19:15:00,144.701,144.726,144.667,144.702,411,9,0
2025-06-24 19:30:00,144.702,144.71,144.671,144.706,317,9,0
2025-06-24 19:45:00,144.707,144.787,144.698,144.767,657,9,0
2025-06-24 20:00:00,144.763,144.87,144.763,144.87,329,9,0
2025-06-24 20:15:00,144.87,144.87,144.777,144.791,253,9,0
2025-06-24 20:30:00,144.791,144.911,144.781,144.89,285,9,0
2025-06-24 20:45:00,144.889,144.905,144.85,144.903,278,9,0
2025-06-24 21:00:00,144.875,144.918,144.847,144.909,81,38,0
2025-06-24 21:15:00,144.897,144.915,144.76,144.854,160,38,0
2025-06-24 21:30:00,144.855,144.868,144.81,144.867,177,38,0
2025-06-24 21:45:00,144.867,144.867,144.728,144.818,216,38,0
2025-06-24 22:00:00,144.841,144.931,144.829,144.922,250,9,0
2025-06-24 22:15:00,144.922,144.934,144.868,144.89,237,9,0
2025-06-24 22:30:00,144.89,144.89,144.844,144.887,191,9,0
2025-06-24 22:45:00,144.887,144.961,144.858,144.931,312,9,0
2025-06-24 23:00:00,144.928,144.951,144.895,144.91,399,9,0
2025-06-24 23:15:00,144.91,144.928,144.794,144.819,530,9,0
2025-06-24 23:30:00,144.819,144.866,144.785,144.826,528,9,0
2025-06-24 23:45:00,144.827,144.972,144.792,144.929,817,9,0
2025-06-25 00:00:00,144.927,144.978,144.767,144.9,1437,9,0
2025-06-25 00:15:00,144.898,144.978,144.824,144.921,1141,9,0
2025-06-25 00:30:00,144.92,145.039,144.909,145.025,1009,9,0
2025-06-25 00:45:00,145.026,145.044,144.877,144.884,1804,9,0
2025-06-25 01:00:00,144.879,144.879,144.623,144.705,1425,9,0
2025-06-25 01:15:00,144.705,144.872,144.659,144.871,941,9,0
2025-06-25 01:30:00,144.869,144.896,144.691,144.723,1070,9,0
2025-06-25 01:45:00,144.723,144.76,144.637,144.656,1208,9,0
2025-06-25 02:00:00,144.656,144.73,144.603,144.661,1102,9,0
2025-06-25 02:15:00,144.661,144.793,144.652,144.77,781,9,0
2025-06-25 02:30:00,144.77,144.834,144.77,144.791,637,9,0
2025-06-25 02:45:00,144.791,144.805,144.751,144.803,614,9,0
2025-06-25 03:00:00,144.804,144.858,144.795,144.839,672,9,0
2025-06-25 03:15:00,144.837,144.841,144.776,144.791,570,9,0
2025-06-25 03:30:00,144.79,144.883,144.789,144.865,459,9,0
2025-06-25 03:45:00,144.867,144.977,144.858,144.969,563,9,0
2025-06-25 04:00:00,144.969,144.986,144.954,144.954,444,9,0
2025-06-25 04:15:00,144.955,144.958,144.907,144.928,487,9,0
2025-06-25 04:30:00,144.928,144.939,144.861,144.916,421,9,0
2025-06-25 04:45:00,144.917,144.96,144.895,144.939,526,9,0
2025-06-25 05:00:00,144.941,145.053,144.941,145.011,686,9,0
2025-06-25 05:15:00,145.013,145.151,145.008,145.128,864,9,0
2025-06-25 05:30:00,145.13,145.161,144.985,145.014,711,9,0
2025-06-25 05:45:00,145.015,145.118,145.012,145.03,788,9,0
2025-06-25 06:00:00,145.028,145.187,145.003,145.067,1043,9,0
2025-06-25 06:15:00,145.065,145.209,145.065,145.151,1147,9,0
2025-06-25 06:30:00,145.153,145.201,145.089,145.153,928,9,0
